service,category,description,benefits,languages,use_cases,constraints,tags,related_services,official_url,cost_efficiency,simplicity,scalability,low_latency,managed_level,beginner_friendly
Amazon S3,Storage / Data Lake,"Almacenamiento de objetos altamente escalable para archivos, datasets, backups, data lakes y artefactos de machine learning.","Alta durabilidad, muy buena relación costo-beneficio, integración con analítica y ML, ideal como capa base de datos y archivos.","SDKs de AWS: Python, JavaScript/TypeScript, Java, Go, C#, entre otros.","data lake, almacenamiento de datasets, backups, hosting estático, artefactos de modelos, logs",No es una base de datos transaccional ni de baja latencia para consultas por llave.,"storage,data-lake,backup,datasets,analytics,ml,files,static-site,logs","Athena, Glue, SageMaker AI, Lambda, CloudWatch, Redshift",https://aws.amazon.com/s3/,5,5,5,2,5,5
AWS Lambda,Compute / Serverless,"Ejecuta código sin aprovisionar servidores. Ideal para lógica bajo demanda, eventos, automatización y APIs ligeras.","Pago por uso, escalado automático, menor operación, integración nativa con eventos y servicios AWS.","Python, Node.js, Java, .NET, Ruby y runtimes personalizados.","serverless, automatización, procesamiento de eventos, microservicios, APIs ligeras, ETL pequeño","No es la mejor opción para cargas muy pesadas, tiempos largos de ejecución o dependencias muy grandes.","serverless,compute,api,event-driven,automation,microservices,backend,ml-inference","API Gateway, EventBridge, S3, DynamoDB, Step Functions, CloudWatch",https://aws.amazon.com/lambda/,4,5,5,4,5,5
Amazon EC2,Compute / Virtual Machines,"Máquinas virtuales configurables para ejecutar aplicaciones, APIs, servicios legacy, entrenamiento o inferencia con control total del entorno.","Flexibilidad máxima, control del sistema operativo, variedad de tipos de instancia, útil para cargas personalizadas.",Cualquier lenguaje soportado por el sistema operativo elegido.,"aplicaciones legacy, servidores dedicados, cargas personalizadas, inferencia especializada, software no serverless","Mayor operación, parches, escalado y administración que opciones serverless o administradas.","compute,vm,custom,legacy,full-control,backend,training,inference","Auto Scaling, ALB, EBS, S3, CloudWatch, IAM",https://aws.amazon.com/ec2/,3,2,4,5,2,2
Amazon ECS,Containers / Orchestration,Servicio administrado para ejecutar y escalar contenedores Docker en AWS sin gestionar Kubernetes directamente.,"Menor complejidad operativa que Kubernetes, integración con Fargate, despliegue y escalado simplificados.","Cualquier lenguaje contenido en Docker; IaC frecuente con CDK, Terraform o CloudFormation.","microservicios, APIs en contenedores, backend escalable, aplicaciones Docker, procesamiento batch","Si el equipo necesita estandarización estricta sobre Kubernetes, EKS puede ser mejor.","containers,docker,orchestration,microservices,backend,api,batch","Fargate, ECR, ALB, CloudWatch, IAM, Service Discovery",https://aws.amazon.com/ecs/,4,4,5,5,4,4
Amazon EKS,Containers / Kubernetes,"Servicio administrado para ejecutar Kubernetes en AWS cuando se requiere portabilidad, ecosistema Kubernetes y control más avanzado del clúster.","Compatible con ecosistema Kubernetes, útil para equipos DevOps maduros y arquitecturas complejas de microservicios.","Cualquier lenguaje ejecutable en contenedores; despliegue típico con YAML, Helm, CDK o Terraform.","kubernetes, plataformas internas, microservicios avanzados, multi-tenant, estandarización sobre K8s",Mayor curva de aprendizaje y complejidad operativa que ECS/Fargate.,"containers,kubernetes,orchestration,microservices,platform-engineering,advanced","ECR, ALB, CloudWatch, IAM, Fargate, Managed Node Groups",https://aws.amazon.com/eks/,3,2,5,5,3,2
AWS Fargate,Containers / Serverless Compute,"Ejecución serverless para contenedores usada con ECS o EKS, sin administrar servidores ni capacidad subyacente.","Reduce operación, acelera despliegues de contenedores y evita gestionar nodos.",Cualquier lenguaje empaquetado en contenedores.,"contenedores sin servidores, microservicios, jobs batch, APIs, backend containerizado",Puede no ser la opción más barata para cargas constantes de gran escala frente a EC2 bien optimizado.,"containers,serverless,docker,microservices,api,batch,low-ops","ECS, EKS, ECR, ALB, CloudWatch",https://aws.amazon.com/fargate/,3,5,5,4,5,4
Amazon RDS,Database / Relational,"Servicio administrado para bases de datos relacionales como PostgreSQL, MySQL y otros motores SQL.","Administración simplificada, backups, alta disponibilidad y soporte para aplicaciones transaccionales SQL.",Compatible con cualquier lenguaje que consuma bases SQL mediante drivers estándar.,"base de datos relacional, transacciones, aplicaciones web, ERP, backend SQL",No es tan elástico horizontalmente como DynamoDB para ciertos patrones de acceso masivo.,"database,sql,relational,transactions,backend,oltp","EC2, Lambda, ECS, IAM, CloudWatch",https://aws.amazon.com/rds/,3,4,3,4,4,4
Amazon DynamoDB,Database / NoSQL,Base de datos NoSQL totalmente administrada y de baja latencia para aplicaciones de alto rendimiento y gran escala.,"Muy baja latencia, escalado alto, administración mínima, útil para sesiones, perfiles, carritos y eventos.","Acceso desde SDKs como Python, JavaScript, Java, Go, C# y otros.","nosql, key-value, baja latencia, sesiones, perfiles de usuario, backend escalable",No reemplaza todos los casos relacionales; el modelado de acceso requiere diseño cuidadoso.,"database,nosql,key-value,low-latency,serverless,scalable,backend","Lambda, API Gateway, EventBridge, CloudWatch",https://aws.amazon.com/dynamodb/,4,4,5,5,5,4
Amazon API Gateway,Integration / API,"Crea, publica y protege APIs REST, HTTP y WebSocket para exponer servicios a clientes, aplicaciones web y móviles.","Escalado administrado, seguridad, versionado, throttling e integración sencilla con Lambda y otros backends.","Independiente del lenguaje del backend; común en arquitecturas con Python, Node.js, Java y .NET.","apis, rest, http, websocket, backend for frontend, integración con microservicios","No ejecuta lógica compleja por sí solo; normalmente se combina con Lambda, ECS, EKS o EC2.","api,rest,http,websocket,integration,backend,serverless","Lambda, ECS, EKS, EC2, IAM, CloudWatch",https://aws.amazon.com/api-gateway/,4,5,5,4,5,5
AWS Step Functions,Integration / Workflow,Orquesta flujos de trabajo y procesos distribuidos entre servicios AWS con lógica visual y manejo de estados.,"Reduce código de orquestación, mejora trazabilidad, reintentos y manejo de errores.",Definiciones JSON/YAML; integra servicios escritos en cualquier lenguaje.,"workflow, orquestación, pipelines, procesos multi-paso, automatización de negocio, ML pipelines",No reemplaza un motor ETL complejo ni un scheduler empresarial completo para todos los casos.,"workflow,orchestration,automation,pipelines,state-machine,serverless","Lambda, SageMaker AI, EventBridge, ECS, CloudWatch",https://aws.amazon.com/step-functions/,4,4,5,3,5,4
Amazon CloudWatch,Observability / Monitoring,"Servicio de monitoreo para logs, métricas, alarmas, dashboards y observabilidad de aplicaciones e infraestructura.","Visibilidad operativa, alertas, trazabilidad y soporte transversal para la mayoría de servicios AWS.","Agentes, APIs y SDKs desde múltiples lenguajes.","monitoreo, logs, métricas, alertas, dashboards, observabilidad, troubleshooting",No sustituye toda una plataforma SIEM o APM especializada en todos los escenarios.,"monitoring,logs,metrics,alerts,observability,dashboards","Lambda, ECS, EKS, EC2, API Gateway, S3",https://aws.amazon.com/cloudwatch/,4,5,5,4,5,5
AWS Glue,Data Integration / ETL,"Servicio serverless para descubrir, preparar, mover e integrar datos desde múltiples fuentes.","ETL/ELT administrado, catálogo de datos, integración con data lakes y analítica, útil para preparación de datos.","SQL visual, scripts Python y Spark principalmente.","etl, elt, integración de datos, catalogación, data lake, preparación para ML y analítica","Para consultas ad hoc simples sobre S3, Athena puede ser una opción más directa.","etl,elt,data-integration,data-catalog,data-lake,analytics,ml","S3, Athena, Redshift, SageMaker AI, CloudWatch",https://aws.amazon.com/glue/,4,4,5,2,5,4
Amazon Athena,Analytics / SQL,Servicio interactivo para consultar datos en S3 usando SQL estándar sin administrar infraestructura.,"Rápido para análisis ad hoc, sin servidores, útil para explorar datasets y reducir operación.",SQL estándar; también soporta notebooks con Spark y Python en escenarios específicos.,"sql, analítica ad hoc, consultas sobre s3, exploración de datos, reporting ligero",No reemplaza un data warehouse completo para cargas intensivas de BI empresarial.,"analytics,sql,s3,serverless,ad-hoc,query,reporting","S3, Glue, Redshift, CloudWatch",https://aws.amazon.com/athena/,4,5,4,3,5,5
Amazon Redshift,Analytics / Data Warehouse,Data warehouse administrado para analítica a gran escala y cargas de BI más estructuradas.,"Buen rendimiento analítico, integración con ecosistema AWS y soporte para almacenamiento/consulta a escala.",SQL y herramientas BI compatibles.,"data warehouse, bi, analítica empresarial, dashboards, reporting avanzado",Puede ser excesivo para análisis simples o datasets pequeños que Athena resuelve mejor.,"analytics,data-warehouse,sql,bi,reporting,enterprise","S3, Glue, Athena, QuickSight, CloudWatch",https://aws.amazon.com/redshift/,3,3,5,4,4,3
Amazon Kinesis,Streaming / Real-Time,"Plataforma para ingesta y procesamiento de datos en tiempo real, eventos, logs y telemetría.","Procesamiento near real-time, escalado de flujos de eventos, útil para analítica en streaming.","SDKs y consumidores en múltiples lenguajes; integración común con Python, Java y Node.js.","streaming, tiempo real, eventos, logs, clickstream, telemetría, procesamiento continuo",No es la opción más simple para cargas batch o consultas analíticas ad hoc.,"streaming,realtime,events,telemetry,logs,analytics","Lambda, S3, Glue, Redshift, CloudWatch",https://aws.amazon.com/kinesis/,3,3,5,5,4,3
Amazon SageMaker AI,Machine Learning / End-to-End,"Plataforma administrada para preparar datos, construir, entrenar, ajustar y desplegar modelos de machine learning y AI a escala.","Centraliza el ciclo de vida de ML, reduce fricción operativa y facilita entrenamiento e inferencia con herramientas administradas.","Python principalmente; integración con notebooks, SDKs y frameworks populares de ML.","machine learning, entrenamiento, despliegue de modelos, inferencia, mlops, pipelines de ML","Para una API pequeña con lógica mínima, Lambda puede ser más simple; para GenAI pura, Bedrock puede ser más directo.","machine-learning,training,inference,mlops,notebooks,pipelines,ai","S3, Glue, Step Functions, CloudWatch, Lambda",https://aws.amazon.com/sagemaker/ai/,3,4,5,4,5,4
Amazon Bedrock,Generative AI / Foundation Models,"Servicio administrado para construir aplicaciones de IA generativa con modelos fundacionales y capacidades para agentes, seguridad y evaluación.","Acelera casos GenAI, reduce complejidad de infraestructura de modelos fundacionales y facilita integrar capacidades generativas.","APIs accesibles desde Python, JavaScript, Java y otros lenguajes mediante SDKs.","genai, llm, chatbot, agentes, generación de texto, resumen, RAG, asistentes inteligentes","No sustituye por sí solo el backend, la observabilidad o la capa de datos de una solución completa.","genai,llm,chatbot,agents,rag,generative-ai,foundation-models","Lambda, API Gateway, S3, DynamoDB, CloudWatch",https://aws.amazon.com/bedrock/,3,4,5,4,5,4
AWS IAM,Security / Access Management,"Gestiona identidades, roles y permisos para controlar quién puede acceder a recursos AWS y qué acciones puede realizar.","Seguridad centralizada, principio de mínimo privilegio, control de acceso granular.","Independiente del lenguaje; se integra por consola, CLI, SDKs e IaC.","seguridad, permisos, roles, usuarios, políticas, cumplimiento","No es una base de datos, motor de cómputo ni herramienta analítica; es un servicio transversal.","security,iam,roles,permissions,access-control,governance",Todos los servicios AWS,https://aws.amazon.com/iam/,5,4,5,3,5,4
